timestamp,rtt_ms,src_ip,dst_ip,packet_size
2026-05-13 10:03:42.914038897,0.019,142.251.223.229,192.168.4.189,93
2026-05-13 10:03:42.930135965,15.949000000000002,192.168.4.189,142.251.223.229,66
2026-05-13 10:03:42.930135965,15.734000000000002,192.168.4.189,142.251.223.229,93
2026-05-13 10:03:42.930179119,0.043000000000000003,142.251.223.229,192.168.4.189,66
2026-05-13 10:03:42.946615934,16.046999999999997,192.168.4.189,142.251.223.229,2242
2026-05-13 10:03:42.970588923,0.022,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:42.970814943,0.006,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:42.971167088,0.283,142.251.223.229,192.168.4.189,987
2026-05-13 10:03:42.987343073,16.098000000000003,192.168.4.189,142.251.223.229,146
2026-05-13 10:03:42.987343073,15.952999999999998,192.168.4.189,142.251.223.229,2940
2026-05-13 10:03:42.987368107,0.025,142.251.223.229,192.168.4.189,1022
2026-05-13 10:03:42.988437891,17.033,192.168.4.189,142.251.223.229,305
2026-05-13 10:03:43.008327007,20.808,192.168.4.189,142.251.223.229,85
2026-05-13 10:03:43.030930996,42.493,142.251.223.229,192.168.4.189,85
2026-05-13 10:03:43.066076994,0.024,23.11.215.145,192.168.4.189,85
2026-05-13 10:03:43.083904028,0.024,142.251.43.197,192.168.4.189,326
2026-05-13 10:03:43.088114977,21.893,192.168.4.189,23.11.215.145,54
2026-05-13 10:03:43.088766098,0.022,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:43.105323076,16.254,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:43.124751091,33.528000000000006,192.168.4.189,142.251.43.197,318
2026-05-13 10:03:43.129652023,0.025,142.251.43.197,192.168.4.189,485
2026-05-13 10:03:43.133167028,0.019,142.251.43.197,192.168.4.189,243
2026-05-13 10:03:43.133533001,0.305,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:43.154835939,21.302000000000003,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:43.245861053,16.622,192.168.4.189,142.251.43.197,4553
2026-05-13 10:03:43.245861053,16.598000000000003,192.168.4.189,142.251.43.197,390
2026-05-13 10:03:43.269434929,0.02,142.251.223.229,192.168.4.189,93
2026-05-13 10:03:43.285866976,15.737999999999998,192.168.4.189,142.251.223.229,93
2026-05-13 10:03:43.292011023,15.952999999999998,192.168.4.189,142.251.223.229,2944
2026-05-13 10:03:43.292778015,16.691000000000003,192.168.4.189,142.251.223.229,13025
2026-05-13 10:03:43.457156897,0.022,142.251.43.197,192.168.4.189,473
2026-05-13 10:03:43.459662914,0.007,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:43.476195097,16.409,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:43.628117085,0.056,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:43.628582954,0.01,142.251.43.197,192.168.4.189,1441
2026-05-13 10:03:43.631194115,0.029,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:43.631458044,0.025,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:43.631623030,0.025,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:43.648277998,16.104,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:43.666068077,16.625999999999998,192.168.4.189,142.251.43.197,4554
2026-05-13 10:03:43.666068077,16.605999999999998,192.168.4.189,142.251.43.197,158
2026-05-13 10:03:43.930814981,16.586,192.168.4.189,142.251.43.197,5028
2026-05-13 10:03:44.046391964,0.022,142.251.43.197,192.168.4.189,130
2026-05-13 10:03:44.047679901,0.005,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:44.064466952,16.424999999999997,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:44.259496927,0.022,142.251.43.197,192.168.4.189,412
2026-05-13 10:03:44.264147043,0.005,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:44.280870914,16.404,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:44.557813883,18.07,192.168.4.189,104.26.6.194,66
2026-05-13 10:03:44.557846069,0.032,104.26.6.194,192.168.4.189,66
2026-05-13 10:03:44.566401958,51.598,192.168.4.189,74.125.130.188,55
2026-05-13 10:03:44.575901031,17.694000000000003,192.168.4.189,104.26.6.194,2021
2026-05-13 10:03:44.579744101,0.025,104.26.6.194,192.168.4.189,589
2026-05-13 10:03:44.598494053,17.212999999999997,192.168.4.189,104.26.6.194,482
2026-05-13 10:03:44.598670006,0.121,104.26.6.194,192.168.4.189,575
2026-05-13 10:03:44.650645018,17.229000000000003,192.168.4.189,142.250.77.142,66
2026-05-13 10:03:44.650676012,0.030000000000000002,142.250.77.142,192.168.4.189,66
2026-05-13 10:03:44.658164024,59.494,192.168.4.189,104.26.6.194,85
2026-05-13 10:03:44.668525934,17.520999999999997,192.168.4.189,142.250.77.142,1875
2026-05-13 10:03:44.671120882,0.064,104.26.6.194,192.168.4.189,85
2026-05-13 10:03:44.685529947,0.02,142.250.77.142,192.168.4.189,1466
2026-05-13 10:03:44.685758114,0.007,142.250.77.142,192.168.4.189,1466
2026-05-13 10:03:44.686113119,0.27999999999999997,142.250.77.142,192.168.4.189,982
2026-05-13 10:03:44.691278934,19.285,192.168.4.189,104.26.6.194,66
2026-05-13 10:03:44.691303968,0.025,104.26.6.194,192.168.4.189,66
2026-05-13 10:03:44.696224928,0.013,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.697099924,0.006,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.697894096,0.01,142.251.223.229,192.168.4.189,843
2026-05-13 10:03:44.703391075,17.277,192.168.4.189,142.250.77.142,128
2026-05-13 10:03:44.710551977,18.805,192.168.4.189,104.26.6.194,2053
2026-05-13 10:03:44.717098951,0.262,104.26.6.194,192.168.4.189,1429
2026-05-13 10:03:44.736521006,19.247,192.168.4.189,104.26.6.194,136
2026-05-13 10:03:44.736771107,0.16899999999999998,104.26.6.194,192.168.4.189,575
2026-05-13 10:03:44.749363899,45.972,142.250.77.142,192.168.4.189,1014
2026-05-13 10:03:44.761720896,0.008,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.762340069,0.023,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.763015032,0.005,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.763859987,0.008,142.251.223.229,192.168.4.189,1423
2026-05-13 10:03:44.775013924,38.242,192.168.4.189,104.26.6.194,85
2026-05-13 10:03:44.775038958,0.025,104.26.6.194,192.168.4.189,85
2026-05-13 10:03:44.795510054,0.02,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.796133041,0.024,142.251.223.229,192.168.4.189,908
2026-05-13 10:03:44.845942974,49.308,142.251.223.229,192.168.4.189,753
2026-05-13 10:03:44.908020020,0.029,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.908786058,0.025,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.909365892,0.007,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.932305098,16.566000000000003,192.168.4.189,142.251.43.197,362
2026-05-13 10:03:44.932305098,16.586,192.168.4.189,142.251.43.197,4557
2026-05-13 10:03:44.942003012,0.02,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.942564011,0.026,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:44.943348885,0.026,142.251.223.229,192.168.4.189,1299
2026-05-13 10:03:45.010893106,0.009000000000000001,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.011408091,0.007,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.012177944,0.009000000000000001,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.012862921,0.005,142.251.223.229,192.168.4.189,871
2026-05-13 10:03:45.027932882,0.006,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.082892895,54.571,142.251.223.229,192.168.4.189,1345
2026-05-13 10:03:45.162240982,0.022,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.162635088,0.008,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.163487911,0.020999999999999998,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.164324045,0.023,142.251.223.229,192.168.4.189,1082
2026-05-13 10:03:45.170078039,0.01,142.251.223.229,192.168.4.189,898
2026-05-13 10:03:45.178426027,0.008,142.251.223.229,192.168.4.189,1466
2026-05-13 10:03:45.178847075,0.009000000000000001,142.251.223.229,192.168.4.189,93
2026-05-13 10:03:45.194570065,15.365,192.168.4.189,142.251.223.229,93
2026-05-13 10:03:45.200361967,50.369,192.168.4.189,74.125.200.119,66
2026-05-13 10:03:45.200438023,0.076,74.125.200.119,192.168.4.189,66
2026-05-13 10:03:45.251687050,50.528999999999996,192.168.4.189,74.125.200.119,1839
2026-05-13 10:03:45.253695965,0.033,74.125.200.119,192.168.4.189,1466
2026-05-13 10:03:45.253911972,0.009000000000000001,74.125.200.119,192.168.4.189,216
2026-05-13 10:03:45.305202961,51.069,192.168.4.189,74.125.200.119,128
2026-05-13 10:03:45.349819899,44.616,74.125.200.119,192.168.4.189,1006
2026-05-13 10:03:45.374252081,0.02,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.374495029,0.185,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.374526978,0.009000000000000001,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.374628067,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.374741077,0.009000000000000001,142.251.43.197,192.168.4.189,399
2026-05-13 10:03:45.380728006,0.014,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.380819082,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.380935907,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.381043911,0.007,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.381189108,0.025,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.381313086,0.012,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:45.390641928,16.146,192.168.4.189,142.251.43.197,89
2026-05-13 10:03:45.397849083,16.206000000000003,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:45.486995935,16.607,192.168.4.189,142.251.43.197,4555
2026-05-13 10:03:45.486995935,16.580000000000002,192.168.4.189,142.251.43.197,158
2026-05-13 10:03:45.819828033,16.637,192.168.4.189,142.251.43.197,4538
2026-05-13 10:03:45.834404945,0.02,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.834741116,0.01,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.834808111,0.020999999999999998,142.251.43.197,192.168.4.189,445
2026-05-13 10:03:45.836776972,0.007,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:45.837316990,0.011,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:45.858762980,20.962,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:45.942169905,16.615000000000002,192.168.4.189,142.251.43.197,4556
2026-05-13 10:03:45.942169905,16.593,192.168.4.189,142.251.43.197,362
2026-05-13 10:03:46.119106054,0.012,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.119421959,0.031,142.251.43.197,192.168.4.189,783
2026-05-13 10:03:46.120697021,0.030000000000000002,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.120949030,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.121191025,0.01,142.251.43.197,192.168.4.189,923
2026-05-13 10:03:46.121361017,0.009000000000000001,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.121514082,0.008,142.251.43.197,192.168.4.189,300
2026-05-13 10:03:46.123908043,0.020999999999999998,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.124278069,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.124492884,0.007,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.126017094,0.043000000000000003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.126095057,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.126399039,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.126672982,0.007,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.126758099,0.006,142.251.43.197,192.168.4.189,458
2026-05-13 10:03:46.127108097,0.006,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:46.143500090,16.108,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:46.311340094,0.156,172.64.148.235,192.168.4.189,78
2026-05-13 10:03:46.328094959,16.754,192.168.4.189,172.64.148.235,82
2026-05-13 10:03:46.435148001,0.02,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.435239077,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.435631990,0.011,142.251.43.197,192.168.4.189,583
2026-05-13 10:03:46.441128016,0.025,142.251.43.197,192.168.4.189,795
2026-05-13 10:03:46.442519903,0.026,142.251.43.197,192.168.4.189,705
2026-05-13 10:03:46.458378077,0.022,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.458475113,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.466325998,0.022,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:46.483242035,16.417,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:46.498924971,16.612,192.168.4.189,142.251.43.197,158
2026-05-13 10:03:46.498924971,16.633,192.168.4.189,142.251.43.197,4556
2026-05-13 10:03:46.865627050,0.014,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:46.865734100,0.01,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:46.882383108,16.226999999999997,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:46.943826914,16.802999999999997,192.168.4.189,142.251.43.197,4558
2026-05-13 10:03:46.943826914,16.775000000000002,192.168.4.189,142.251.43.197,362
2026-05-13 10:03:47.178980112,16.42,192.168.4.189,142.251.152.119,66
2026-05-13 10:03:47.179008961,0.028,142.251.152.119,192.168.4.189,66
2026-05-13 10:03:47.196297884,16.926,192.168.4.189,142.251.152.119,1778
2026-05-13 10:03:47.213783026,0.030000000000000002,142.251.152.119,192.168.4.189,1466
2026-05-13 10:03:47.214817047,0.973,142.251.152.119,192.168.4.189,1309
2026-05-13 10:03:47.236731052,21.913999999999998,192.168.4.189,142.251.152.119,128
2026-05-13 10:03:47.401418924,0.128,142.251.43.197,192.168.4.189,1164
2026-05-13 10:03:47.414799929,0.082,142.251.43.197,192.168.4.189,522
2026-05-13 10:03:47.418400049,0.038,142.251.43.197,192.168.4.189,772
2026-05-13 10:03:47.451759100,0.030000000000000002,142.251.43.197,192.168.4.189,924
2026-05-13 10:03:47.467119932,0.023,142.251.43.197,192.168.4.189,105
2026-05-13 10:03:47.481070042,0.06999999999999999,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:47.498296022,16.391,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:47.515069962,16.583000000000002,192.168.4.189,142.251.43.197,4552
2026-05-13 10:03:47.515069962,16.563000000000002,192.168.4.189,142.251.43.197,158
2026-05-13 10:03:47.897823095,0.025,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:47.919425011,20.462,192.168.4.189,142.251.43.197,93
